dbID,mean_mag,std_mag,skewness,kurt,excess_var,n_obs,baseline,mean_err,sf_at_300d,drw_at_300d,sf_excess,log_tau,log_sigma,peak_power,best_period,n_cycles,log_sf_at_300d,log_drw_at_300d,log_sf_excess,log_excess_var,rf_score,is_candidate,rf_nols_score,iso_score
2077181,20.77894,0.1376044199871502,0.2989115110882036,0.2935885033813155,0.01599528448979594,50,3321.0340910000014,0.04964,0.190713697163351,0.2118825229410605,0.900091685317538,2.62884,-0.710358,0.6850926394336019,1100.0,3.019121900909092,-0.7196181145636431,-0.6739048644467602,-0.04571325011688271,-1.7960080312128979,0.0,0,0.0019804223185568453,0.37499375883708974
2077857,21.437945454545453,0.09837283774808737,-0.16871678597246645,0.01529465702640076,0.0008028956228955733,55,3321.033900000002,0.08894545454545455,0.0,0.0241850936479184,0.0,5.0,-1.725,0.1121989252923731,340.22899582237346,9.761172447905778,-6.0,-1.6164522266259307,-6.0,-3.095340909698725,0.0,0,0.01787943389985723,0.6771066281630175
2078377,19.61092753623188,0.1136467089675159,0.2743744003641478,-0.7811227351914742,0.012528060102301812,69,3336.956113,0.021681159420289853,0.1166288561048936,0.1839838577691319,0.6339080912807187,2.84073,-0.798566,0.4880935495505068,390.5337003818488,8.544604754307382,-0.9331939839108967,-0.7352202791063478,-0.19797370480454887,-1.9021161717903292,0.0,0,0.0,0.34573611982815955
2078688,19.859739130434786,0.12415344084883913,-0.4454550545401212,0.8798548951923619,0.013997232736572914,69,3336.956106000005,0.02934782608695652,0.1449994002986097,0.1945055324916953,0.7454769971892735,2.81512,-0.771758,0.3751081757966901,289.7865050079072,11.515222580530285,-0.8386337939549782,-0.7110680411431957,-0.1275657528117825,-1.853957816180878,0.0,0,0.0,0.348471220900438
2078867,21.55692,0.3976920336139513,0.8804249560984465,0.20381709827763173,0.15001791000000017,25,2219.086267999999,0.10868,0.5236449593744429,0.6643254425771963,0.788235593300484,1.06056,0.422881,0.2436881123803802,309.02958330405454,7.180821474352627,-0.2809630726446076,-0.1776191144720606,-0.10334395817254702,-0.8238568892786619,0.0,0,0.003979763912310287,0.680472241191309
2078939,18.38465714285714,0.0632098287371478,-0.5288076030963863,-0.20766032996730166,0.003884945134575531,70,3336.956109999999,0.01232857142857143,0.0857296735271803,0.1017288567684524,0.8427271892213609,3.25656,-1.08355,0.5857781992923362,406.78938118582926,8.20315441930283,-1.066868830135555,-0.9925558360875504,-0.0743129940480045,-2.4106151101756406,0.0,0,0.007970734380667574,0.39364180907010066
2079143,20.767621212121213,0.08963812181978854,-0.6889431420679267,0.38737126726785887,0.0051239111888111925,66,3336.9561079999985,0.050212121212121215,0.0775730684734138,0.1360027761182317,0.5703785664343866,5.0,-0.975,0.3734966069164342,928.589527027027,3.593574998291872,-1.1102890293020489,-0.8664522266259294,-0.24383680267611946,-2.2903984063558234,0.0,0,0.0,0.4052324553735559
2079712,19.971835820895524,0.10972946338506287,1.1318987546616415,3.1913582128773825,0.01110359972862954,67,3336.9561109999995,0.027805970149253727,0.1232610330074536,0.1376767329819531,0.8952931286044602,2.83879,-0.924289,0.5759726843854881,399.1468506080958,8.360221572376643,-0.9091741969204744,-0.8611394482059486,-0.048034748714525656,-1.9545362023990096,0.0,0,0.0,0.3671978339773202
207982,20.74019642857143,0.09464622467054767,-0.5784728673382873,2.4804119220690195,0.006956118181818214,56,3336.933284999999,0.04537499999999999,0.1257802162134319,0.1698202177609278,0.7406669115835476,3.99665,-0.875595,0.2991028821397037,1023.9348079161816,3.2589313882111504,-0.900387663064144,-0.7700106065578348,-0.13037705650630915,-2.157633048107579,0.0,0,0.0,0.38565999740885154
2079904,20.508154471544717,0.10300651431924297,0.46847769109018994,0.6276928639976531,0.008257848593895774,123,3330.972409999995,0.04284552845528456,0.0852294797601364,0.1888102667640967,0.4514027823848361,2.47294,-0.73191,0.5510219249077445,310.99639346580864,10.71064642544225,-1.0694101624783403,-0.7239743941599521,-0.3454357683183881,-2.083133084096142,0.0,0,0.0,0.42322723143914426
