dbID,band,n_obs,baseline,mean_mag,std_mag,mjd_min,mjd_max
1011484,g,63,3336.956130999999,19.56917460317461,0.07950811871942916,51075.367123,54412.323254
1012129,r,56,3321.033851,20.15085714285714,0.1156165813261706,51081.338998,54402.372849
1012129,g,55,3321.033851,20.384036363636366,0.1507967884437817,51081.342331,54402.376182
1012310,r,62,3321.033899000002,19.871870967741938,0.12150089391294268,51081.348483,54402.382382
1012310,g,59,3321.0338989999946,20.014508474576267,0.17441042311425517,51081.351816,54402.385715
1013289,r,60,3327.0175480000034,19.037833333333335,0.1042685901357109,51075.359797,54402.377345
1013289,g,58,3316.025198000003,19.08896551724138,0.1186642562336743,51075.36313,54391.388328
1013675,r,69,3336.9561539999995,19.227376811594205,0.10447135401689742,51075.361456,54412.31761
1013675,g,67,3336.956155,19.411999999999995,0.1482696212884316,51075.364789,54412.320944
1014099,r,66,3336.956145999997,17.98543939393939,0.0796376507552456,51075.363464,54412.31961
1014099,g,66,3336.956145999997,18.023121212121215,0.09328654376176436,51075.366797,54412.322943
1014119,r,123,3330.9723569999987,20.288869918699188,0.15997535172693328,51081.346565,54412.318922
1014119,g,118,3330.9723569999987,20.39138983050847,0.1935884606580962,51081.349898,54412.322255
1015182,r,58,3310.041615000002,20.32098275862069,0.12310221312043364,51081.34605,54391.387665
1015182,g,57,3310.041615000002,20.430824561403508,0.14678820197428238,51081.349383,54391.390998
1015505,r,61,3321.0338619999966,19.04829508196722,0.04693816799958442,51081.348974,54402.382836
1015505,g,59,3321.033862999997,19.11728813559322,0.04145818839095107,51081.352307,54402.38617
1016406,r,60,3321.0339290000047,18.569833333333328,0.1113892823489864,51081.346128,54402.380057
1016406,g,59,3321.033930000005,18.88491525423729,0.12195821570307473,51081.349461,54402.383391
1016763,r,59,3321.0338829999964,19.02049152542373,0.15394246921004828,51081.346415,54402.380298
1016763,g,56,3321.0338839999968,19.273803571428573,0.1360958721483364,51081.349748,54402.383632
101690,r,63,3336.9332950000025,20.46653968253968,0.11264663465151502,51075.298673,54412.231968
101690,g,60,3336.9332950000025,20.607716666666665,0.1389781867376634,51075.302006,54412.235301
101718,r,50,3321.0338770000017,20.21642,0.06442114249219733,51081.293821,54402.327698
101718,g,46,1843.9974790000051,20.38282608695652,0.057718320634456914,52558.333553,54402.331032
1017249,r,67,3336.956130000006,18.926328358208956,0.1398132430321079,51075.366845,54412.322975
1017249,g,67,3336.956130000006,19.515985074626865,0.31829384211210726,51075.370178,54412.326308
1017284,r,56,3321.0338279999996,19.362,0.17277772673913389,51081.338746,54402.372574
1017284,g,52,3321.033829,19.55998076923077,0.22189424806083924,51081.342079,54402.375908
1017349,r,55,3310.0414610000007,20.28863636363636,0.11448165611475426,51081.346864,54391.388325
1017349,g,56,3321.033911999999,20.725089285714287,0.1288063714020991,51081.350197,54402.384109
1017734,r,62,3321.0338360000023,19.72240322580645,0.08485689275279094,51081.348941,54402.382777
