dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
1047685,3.1842,-0.709028,0.2086160859777388,0.23920947252646899,0.8721062915042173
1047897,3.10006,-0.944625,0.13259348764940546,0.13764758104451302,0.9632823667749515
1048564,5.0,-0.95,0.08447049032806495,0.14406144723768982,0.5863504216273451
1048924,3.45896,-0.765855,0.08154753215150018,0.21465508813493903,0.3799002989402087
1049523,2.65831,-0.640547,0.1421488211569896,0.2514097422934045,0.5654069721415037
104962,5.0,-1.1,0.07301355317588953,0.10198769426420039,0.715905518824134
1050365,2.48995,-0.535572,0.3144689281422208,0.2991609176081342,1.05116982076562
1050493,5.0,-0.925,0.10736321746816425,0.15259762464095436,0.7035706992214213
1051188,0.785018,-0.550317,0.030210373494324795,0.05145314025970296,0.5871434346250182
1051287,5.0,-1.175,0.052239611517451774,0.08581195046149374,0.6087684901288098
1052057,2.75112,-0.872856,0.11196279143834685,0.15154291797121025,0.7388190285448857
1052077,2.69604,-0.79016,0.07201820569286368,0.18035292974422906,0.3993181912542129
1052147,2.96883,-0.917638,0.20790723311712303,0.14355328417732607,1.4482931150519893
1052697,3.94411,-1.19998,0.059704215986757535,0.08038637167240861,0.742715646254875
1053466,5.0,-1.125,0.1467296223996786,0.09628259201744187,1.5239475727148901
1053588,2.71915,-0.999857,0.02858346354956268,0.11207464573734997,0.2550395172923305
1054076,2.85909,-0.941018,0.07415892026280772,0.13308978357025136,0.5572097141751153
1054283,3.17735,-0.802422,0.12717311036536047,0.1927769526906864,0.6596904276695964
1054603,5.0,-1.375,0.033735766047742845,0.05414368038784999,0.6230785533248171
1055184,2.39143,-0.654304,0.17737089872435594,0.21629305728243034,0.8200489694532785
1055774,5.0,-1.05,0.061605308212847876,0.11443207507613934,0.538356996251774
1056631,2.84412,-0.652052,0.16662902605258298,0.25800883418482046,0.6458268244149383
1057038,5.0,-0.975,0.21066106268917612,0.13600277611823175,1.5489467840424185
10579,3.10157,-1.08754,0.0555822948328103,0.09906956006334855,0.5610431175556754
1057980,3.02818,-0.904229,0.1719397063690143,0.14951613773042444,1.1499742367544248
1058096,3.81366,-0.790903,0.18402430395044142,0.205571875452311,0.8951822983836705
1058483,2.71476,-0.708907,0.2195232713556054,0.21871737471571512,1.0036846484690014
105857,2.02218,-0.916603,0.07637590634334553,0.08932378371318486,0.8550455787742438
1058597,3.60755,-0.748967,0.26379523897253204,0.22484167799863275,1.17324884478996
1059296,2.89133,-0.921192,0.05184179229705996,0.14027945408659293,0.3695608357946603
1059724,4.39865,-1.13162,0.05224478583608939,0.09461261397598064,0.5521968333879117
1060178,3.59078,-0.983803,0.10835311527760375,0.1308358264658615,0.8281608960209069
1060596,3.14969,-0.883076,0.19463214020299974,0.15959504291443316,1.2195375034759175
1060677,2.63767,-1.08454,0.042422342844469926,0.08980121289866669,0.47240278249181406
1060872,5.0,-1.15,0.04352225652682562,0.09089662819106624,0.4788104618725912
1061583,3.31784,-1.13063,0.054201766213603335,0.09176740670802237,0.5906428889949766
1061586,5.0,-1.625,0.022125726444586363,0.030447228979986276,0.7266909727361447
1062088,4.14829,-0.915395,0.07313677147490293,0.15529500610705627,0.47095378858792386
1062250,3.04413,-1.12142,0.06295641402680222,0.09089757381821248,0.6926082994548322
1062310,2.51647,-0.959485,0.049600765670058396,0.11410164028853291,0.4347068591181613
106285,2.19853,-0.762271,0.2290790511566522,0.14837856876924316,1.5438823346039523
1062985,3.4105,-1.01575,0.09563199102291287,0.12037266145233357,0.7944660346384568
106325,2.48444,-0.861685,0.07857896751254943,0.14081763760739244,0.5580193564362446
106501,1.86191,-0.307415,0.2065874896679138,0.30852320685067247,0.6696011356056716
106565,3.0173,-0.743201,0.13265523507349794,0.21625931975298485,0.6134081769286015
1066256,3.30368,-1.15386,0.06749537956502069,0.0868859183662899,0.776827601458692
1066321,2.68623,-1.06742,0.024127845763277467,0.09495338806829702,0.2541019994560179
106691,5.0,-1.3,0.04722434938945961,0.06434988474259772,0.7338684378124222
106772,5.0,-0.95,0.06556421788343597,0.14406144723768982,0.4551128642714541
1067925,5.0,-0.85,0.18462696428753034,0.18136261678737234,1.017999009707635
1067980,2.93984,-0.660309,0.14699201966825917,0.2582554647085936,0.5691729305094078
1068344,2.14235,-0.578339,0.07115414315352403,0.2166701892663029,0.3283983984805154
1068376,3.87828,-0.735405,0.07791769851539183,0.2339654909012969,0.3330307312212253
1068857,2.51294,-0.508292,0.1849297758015778,0.3219546363298649,0.5743969955199042
106913,2.77463,-0.688936,0.11259413109112038,0.23294372568068736,0.48335335395751855
1069338,2.64589,-1.29729,0.07358138351512578,0.055180426413050286,1.333468918205453
1069404,3.06666,-0.745569,0.07749193506423781,0.21668671963436706,0.3576219862250727
1069549,3.09159,-0.688428,0.4833514417885496,0.24801282994542562,1.9488969255941697
1070068,2.63611,-0.662104,0.16378749474347337,0.23739856488034036,0.6899262210200373
1070129,3.06372,-0.819264,0.14171290615431137,0.18279100006782606,0.7752728859830499
1070734,2.71918,-0.755076,0.0870018390610223,0.19692111224463277,0.4418106218745146
1071615,3.04986,-0.697816,0.2244928594767413,0.24128285171624078,0.9304136530214536
1071622,2.20397,-0.697004,0.1571803804550683,0.17315995762447153,0.9077178269813521
1072267,2.90004,-0.810452,0.11012097244134951,0.18134921051065317,0.6072316065301016
1072282,3.64324,-0.809036,0.09828659711483395,0.19608202604404773,0.5012524559122769
1073116,2.81762,-0.761836,0.08139056167278713,0.19912216117863257,0.4087468777509482
107313,1.94896,-0.733906,0.09787793533562002,0.12657759192444762,0.7732643183324421
1073497,1.7243,-0.322499,0.14189700229130733,0.25593801039223074,0.5544194161463043
1074090,3.41862,-1.33987,0.04363799387923312,0.057100373226749115,0.7642330761297118
1075717,2.2377,-0.846246,0.1449141334052896,0.12592446163336765,1.1508020882170684
107687,2.84969,-0.874013,0.1423208669403986,0.1549631079848163,0.9184177369128631
1077314,4.05342,-1.08682,0.09444357169915825,0.10451213400333018,0.9036613078453541
1078119,3.49459,-0.83823,0.08889881888979217,0.18207376356997595,0.48825716098094446
1078276,5.0,-0.85,0.19950361603353858,0.18136261678737234,1.100026122072525
107867,3.87025,-0.925624,0.10727284029124501,0.15095673461705963,0.7106197717072379
1080079,2.99451,-0.955599,0.10912292695310645,0.13211918244522677,0.825943098749843
1080131,3.94199,-0.84298,0.13649872620518932,0.18287919931568386,0.746387378750313
1080738,3.36573,-0.774771,0.09351394090111415,0.20900366947555282,0.4474272683143129
