dbID,peak_power,best_period,rest_period,n_cycles,n_obs,baseline,null_p99,null_p999,sig_99,sig_999,log_tau,log_sigma,redshift
2297540,0.9064647615972318,394.9528513695554,121.56884122431525,7.471734835606441,60.0,2950.982978,0.9092462684686691,0.9231676530584932,False,False,5.0,-1.325,2.2488
974254,0.9047179877620464,392.7308447937131,148.9478684695692,8.496801802651323,68.0,3336.956149999998,0.9218393456589953,0.9327634001394366,False,False,3.89573,-0.743267,1.6367
4041069,0.9043192028257732,407.12830957230136,150.72685556710277,8.196269366543277,64.0,3336.9332920000015,0.919906971692391,0.9386766057027616,False,False,3.6359,-0.7673,1.7011
2346419,0.9035459556872448,415.43548082372945,81.9060114792156,6.2174822498995095,53.0,2582.962728000006,0.9238503053772382,0.9349512417342004,False,False,3.75486,-1.07741,4.0721
961831,0.903437268834712,402.76582104588334,161.58461889026853,8.285102644347393,68.0,3336.9561689999973,0.8790147639570904,0.9016038186645905,True,True,5.0,-0.925,1.4926
582730,0.9033907809440307,944.7475832438238,497.39264148879846,3.503625251556463,56.0,3310.041489000003,0.8831373464750109,0.9111847416377777,True,False,3.09397,-0.67643,0.8994
1057980,0.9030961856262071,461.7597648047038,147.37640904018377,6.3841539382427674,55.0,2947.945421000004,0.8903849516485465,0.9253423505467147,True,False,3.02818,-0.904229,2.1332
3943841,0.9026375207305112,407.46780320578154,176.93682018575774,8.189440411601698,63.0,3336.933293999995,0.8874540444635881,0.9024429246258627,True,True,3.72338,-0.886039,1.3029
190867,0.9017384629265218,417.56551462210405,172.77619770858325,7.953324253813269,56.0,3321.0339349999995,0.8961197273932526,0.9191743680725255,True,False,3.28792,-0.627209,1.4168
4996515,0.8993064125382598,400.78374191196576,167.07676417874177,8.25892151515234,70.0,3310.041468999996,0.8760765782473776,0.9044153761925666,True,False,3.7443,-0.733245,1.3988
987866,0.8992398213999993,402.4341142020497,161.64609342948654,8.291931633620434,66.0,3336.956161999995,0.9217876917458518,0.9416988909524087,False,False,3.61843,-0.69594,1.4896
2031395,0.8985852794719026,306.3174757957791,94.07784883162749,6.853381363718222,39.0,2099.31048,0.9411089739738269,0.9576333005732325,False,False,3.2989,-0.438402,2.256
1186448,0.8981182868241382,327.0226055919096,114.19583252153146,8.974727278219104,57.0,2934.9386989999985,0.9236336391834555,0.9445885881784425,False,False,3.52591,-1.19318,1.8637
4128390,0.8976445736506277,461.7597648047038,196.1429635564964,7.192125248081329,56.0,3321.0340630000064,0.8777217776121087,0.921528768741786,True,False,2.94278,-1.12934,1.3542
446795,0.8974228190062248,418.9977134146341,175.9903030135392,6.164622438986763,43.0,2582.9627059999984,0.9214149676327613,0.9513987207152323,False,False,3.48036,-0.695766,1.3808
3065778,0.8972518001761682,1075.7827788649706,753.9300433562062,3.0768679402846875,43.0,3310.0415429999994,0.9003640155103946,0.936219992162206,False,False,1.72176,-0.364522,0.4269
2117444,0.8967069500247689,401.77233692673116,110.30428753753876,8.305589559812175,67.0,3336.9561269999977,0.8999531402449594,0.9221782745244158,False,False,5.0,-1.1,2.6424
3924967,0.8959772138573667,406.45101663585945,194.00077162706287,8.195158350370653,23.0,3330.9304430000047,0.9327488338503849,0.9527109017324508,False,False,2.86107,-0.377364,1.0951
1269621,0.8951242404619097,460.020920502092,198.8763652682945,7.219310453044713,63.0,3321.0338400000037,0.8514740283866227,0.8790759886935593,True,True,2.89581,-0.94457,1.3131
4024726,0.8948635724004771,427.42734959665654,263.6650111631957,3.4905126880810804,16.0,1491.9405869999973,0.9622877706257512,0.9747945939237879,False,False,2.09439,-0.660993,0.6211
242661,0.8948263742279113,399.1468506080958,148.68573313767772,8.360164417973541,60.0,3336.9332980000036,0.9304726159942408,0.9465303077447439,False,False,5.0,-0.775,1.6845
670674,0.8948147652601449,550.7576706324357,297.01648634656516,6.0588465253115205,65.0,3336.956199,0.8802892732681662,0.9269291747220545,True,False,2.37482,-1.05142,0.8543
3935573,0.8946229394982927,335.786821409483,169.05141288299,9.83969586457,23.0,3304.040197999995,0.9537311175714378,0.9730668057237207,False,False,4.31978,-0.418864,0.9863
320793,0.8941525473767771,416.4977744104555,191.1680242394343,8.011887510619617,61.0,3336.9333169999954,0.8877217515663111,0.9073062101764562,True,False,3.27626,-0.791599,1.1787
223800,0.8937755252818553,1100.0,654.0222367560498,3.019121700000006,55.0,3321.0338700000066,0.8923719476652383,0.9334943721311534,True,False,3.23592,-0.718393,0.6819
265248,0.8929845336370357,425.1957845886106,302.52279230779834,7.8246721477236445,57.0,3327.0176130000036,0.8725969939689634,0.9082288070035894,True,False,2.25482,-0.85933,0.4055
916523,0.8919849718005516,415.78897608017394,109.88080763218127,8.025600292386189,67.0,3336.956127999998,0.9186694310592726,0.9314187464657641,False,False,3.12681,-0.892839,2.784
3950342,0.8919398353617227,391.1589433425242,171.97579395142856,7.510791428913779,34.0,2937.9132390000013,0.952987688890841,0.9690572223318753,False,False,5.0,-0.6,1.2745
4974467,0.8918546317232863,393.046742336223,116.6310808119356,5.70160787411637,20.0,2240.998400999997,0.9621564237120903,0.9732434142829878,False,False,5.0,-0.625,2.37
576944,0.8918316614532192,395.2723350710048,196.4867202222025,8.427031470344703,60.0,3330.972406999994,0.9182019409707051,0.9422501694355558,False,False,5.0,-0.85,1.0117
15195,0.8916090772680799,310.6010311462674,134.13414715247342,10.74347135515009,59.0,3336.933281000005,0.8674559184145976,0.9020844801222082,True,False,3.01958,-0.779564,1.3156
3624333,0.891576410387052,429.3049590003905,168.28229352059523,5.194319567591976,50.0,2229.9471489999996,0.9279109686363102,0.9566086621182597,False,False,3.20313,-0.71306,1.5511
570913,0.8907494682205357,333.7228714524207,133.35046409830602,8.794538873606802,57.0,2934.9387659999993,0.9023129513748654,0.912771477391111,False,False,4.63518,-0.755236,1.5026
915074,0.8905275831204342,324.8485743832176,197.08097699643127,10.253793978700273,65.0,3330.9303560000044,0.9317807271486594,0.9427612133898234,False,False,3.65793,-0.589202,0.6483
4095852,0.8902985615270501,393.68006445260045,242.533307326639,8.476256783893527,63.0,3336.9333169999954,0.9153237895424866,0.9295058075984589,False,False,5.0,-0.725,0.6232
575035,0.8896437606744193,409.17379977670254,112.01648044697288,7.172841256213553,54.0,2934.9387119999956,0.8887129572507313,0.9147109433960201,True,False,4.13984,-0.921119,2.6528
1067925,0.8887766203429938,407.12830957230136,128.95641872994247,5.477258909709865,52.0,2229.9471610000037,0.9478813815620184,0.9601021813499829,False,False,5.0,-0.85,2.1571
1473492,0.8883909199002772,410.2042719895532,80.1211516054442,7.1548223346507385,53.0,2934.9386870000017,0.927092261857603,0.9419231218252133,False,False,4.17671,-0.999422,4.1198
3905973,0.8881066969962612,310.009868884816,205.4950741646666,10.763958270115063,64.0,3336.9332920000015,0.885965819500177,0.922705409197661,True,False,2.79365,-0.636228,0.5086
4130731,0.8876181286983037,463.5118043844856,125.7253924605977,7.199241262973306,64.0,3336.9333079999997,0.869206593191819,0.9007318250852314,True,False,2.94177,-0.830803,2.6867
530434,0.8872502202986509,433.1101043923577,99.47864035838985,6.776426348024465,55.0,2934.9387229999993,0.8705352808503782,0.8854027718888291,True,True,3.26219,-0.857534,3.3538
3901204,0.8864893478741264,438.1588123941416,151.89586507458282,7.5795209888705735,57.0,3321.033915,0.8951358697997687,0.938097100822477,False,False,3.19139,-0.639131,1.8846
2381475,0.8863542251547704,428.92811859943424,238.134642793379,6.021901083179328,43.0,2582.9627020000044,0.9485760470526466,0.9575839312985543,False,False,3.31567,-0.543313,0.8012
4009911,0.885998487085108,319.32907348242804,171.45185153418956,10.400036369324686,54.0,3321.0339780000068,0.8948673117784897,0.9224787154451218,False,False,2.63237,-0.605824,0.8625
805479,0.8858233999141754,430.8189655172414,141.90348007814276,7.724675138209102,59.0,3327.936551999999,0.9308456734560527,0.9529161141589022,False,False,3.90019,-1.25599,2.036
2548258,0.8857960548485314,315.41275191852543,134.75722119051755,10.529167862743398,70.0,3321.033810999994,0.8503104470828721,0.8906873536670683,True,False,2.94966,-1.00281,1.3406
741025,0.8851380745427295,390.5337003818488,236.7875464632564,7.515199587462824,53.0,2934.938704,0.9404363496389154,0.9556232689618218,False,False,5.0,-0.625,0.6493
1417132,0.8850100919893651,337.87645974185614,127.6161277163681,8.686425497776174,54.0,2934.9386950000044,0.9411255376767019,0.9552005024750025,False,False,5.0,-0.925,1.6476
25458,0.8849249144114931,506.2507194658685,187.70883183754856,6.5914639420576275,62.0,3336.9333630000037,0.8866143009789148,0.9088827585232735,False,False,3.42228,-0.826328,1.697
2006932,0.8847133557613499,402.4341142020497,115.5125331387381,8.291931695742408,71.0,3336.956186999996,0.8942426149602271,0.9280283513487908,False,False,5.0,-1.1,2.4839
381888,0.8846530562870208,401.77233692673116,155.78005386636082,8.305532818722998,62.0,3336.93333,0.896458497633346,0.9057737382447603,False,False,5.0,-1.175,1.5791
549070,0.8842812509196367,444.53654098857777,139.1437776976893,4.971312086258347,18.0,2209.9298789999957,0.9647147296423344,0.9795495305693142,False,False,2.43184,-0.455279,2.1948
1570631,0.8840399084364039,395.9128555995678,166.01511891964432,7.413092678072681,53.0,2934.938691000003,0.9384967215561455,0.9560051271836968,False,False,4.1785,-0.665797,1.3848
3776342,0.8835001480443453,418.9977134146341,154.41796764746596,7.899903436285412,21.0,3310.0414759999985,0.9394378844125081,0.9516773613113454,False,False,2.83715,-0.747295,1.7134
373723,0.8827975277167616,326.3673469387755,108.10445410360234,10.175754183591799,56.0,3321.033896000001,0.8755690819232216,0.9006337707788211,True,False,3.22178,-0.982291,2.019
4965155,0.8826097313583838,892.9543147208122,568.0732328524794,3.7068430371322036,37.0,3310.041484000001,0.8985251858591099,0.933230003564812,False,False,2.23092,-0.465193,0.5719
4806797,0.8824817940174375,328.341048230551,155.0314218001563,7.126156652082855,49.0,2339.8097449999987,0.8873673286983053,0.9055022273493237,False,False,3.11246,-0.814747,1.1179
3555699,0.8823293150358767,272.49519796765594,147.86217264510063,8.183436363765527,45.0,2229.9471120000017,0.9279822414912825,0.9633730766436186,False,False,3.17568,-0.830844,0.8429
3294458,0.8818454343262587,285.55288617622233,114.77667357057051,7.749714984965426,24.0,2212.953480999997,0.957706072166946,0.9717431097063002,False,False,2.16571,-0.55781,1.4879
1405217,0.8817761575272397,333.7228714524207,120.15657501707376,8.79453865785892,55.0,2934.9386939999968,0.9421888107264669,0.9586883080533765,False,False,5.0,-1.05,1.7774
1519972,0.8813392230607093,517.5100023534949,316.63607584036646,5.696402785634188,57.0,2947.9454190000033,0.8785643474536281,0.9022300483351104,True,False,2.71611,-0.716963,0.6344
554864,0.8811093302403543,445.34683544303795,144.79998551275781,6.590231930311743,57.0,2934.9389349999983,0.899946868769188,0.9187256206258181,False,False,2.91193,-0.807752,2.0756
1252548,0.8807502370224802,397.20014450867046,142.11096404603595,8.361109402686791,63.0,3321.033862999997,0.8808433954745393,0.9047736901349914,False,False,5.0,-0.9,1.795
205295,0.8802018363710189,442.9247658374459,163.27819730801264,7.5203507817001585,63.0,3330.9496089999957,0.8714030740092422,0.9141771872912143,True,False,2.94428,-0.722893,1.7127
1803142,0.8801860116145496,331.45914983418754,153.0352970285736,8.854601496046206,52.0,2934.9386840000006,0.8899062385941584,0.9077142779246484,False,False,5.0,-0.875,1.1659
3513870,0.8801147031510133,321.85304449648703,132.12358148460058,6.928463763605447,54.0,2229.947156000002,0.9135970388764295,0.9313304991489334,False,False,3.07811,-0.858771,1.436
1957294,0.8797471756785811,412.2808662229305,131.54681287225375,7.118784841722463,53.0,2934.9387810000044,0.91328613064191,0.9281849061943567,False,False,3.26393,-0.939716,2.1341
