dbID,peak_power,best_period,n_cycles,n_obs,baseline,redshift,rest_period
1067925,0.8887766203429938,407.12830957230136,5.477258909709865,52,2229.9471610000037,2.1571,128.95641872994247
1067980,0.6594639291523147,305.9339130434782,9.593375150217144,52,2934.938798999996,0.7082,179.09724449331353
1068344,0.4255596983730656,427.8015564202335,6.890917926217657,56,2947.9454140000016,1.1721,196.95297473423577
1068376,0.7139648039831187,331.2344656172328,8.86060797305903,56,2934.938747,1.7886,118.78163437468007
1068857,0.7114314064793645,403.09807516040325,8.27821694428122,55,3336.933315999995,1.303,175.03173042136487
106913,0.6968514394062384,321.4296155532816,8.035858228414666,51,2582.962821000001,1.0269,158.58188147085778
1069338,0.6454915630261512,919.8494038903995,3.1906730488567008,57,2934.9387019999995,2.8467,239.12688899326682
1069404,0.6207487591851911,306.89462665736215,10.873221696141258,54,3336.9333130000014,0.9608,156.5150074751949
1069549,0.6499161986604258,878.505793048342,3.7984192345745575,55,3336.9333019999976,0.7625,498.44300314799546
1070068,0.7496955329299331,504.1614123581336,5.8472253423986995,54,2947.9453869999998,1.3617,213.4739434975372
1070129,0.6439593706669645,394.9528513695554,7.4311115410932835,58,2934.9386920000034,1.4067,164.10556004884506
1070734,0.4662833039301528,291.8635518980621,10.100423251991447,55,2947.945405999999,1.7077,107.79021010380104
1071615,0.6590187599227745,317.2558072428221,10.518115803774604,55,3336.9333199999965,1.5295,125.42233929346592
1071622,0.5883389798551415,485.14065085493655,6.049665839850601,51,2934.938822999997,2.7375,129.8035186233944
1072267,0.8676317945526997,410.54891710231516,7.148816186667895,56,2934.9387440000064,1.1361,192.19555128613604
1072282,0.8377007182088881,403.43087790110997,134.84899327992247,58,54402.247743,0.7337,232.69935854017993
1073116,0.5434449301796364,307.8613930696535,10.839076925910696,54,3336.9333220000044,0.8702,164.61415520781387
107313,0.5477899046267362,508.3574153277077,6.532871977207467,54,3321.0339129999993,2.6779,138.21947723638698
1073497,0.5156697609552098,407.8078635014836,7.133489028441484,39,2909.0929199999955,0.4564,280.0108922696262
1074090,0.5209790757803127,428.17641904390996,6.85450813371163,58,2934.938747,1.6064,164.27885936307166
1075717,0.7551480166760419,873.7929664216173,3.3588490807144478,54,2934.9387019999995,1.4182,361.340239195111
107687,0.5716217870744627,405.43929197013,8.191198834879245,55,3321.0338559999946,0.8981,213.60270374065118
1077314,0.7616270293660665,333.7228714524207,8.833513250590293,53,2947.9454069999992,1.5971,128.4982755582845
1078119,0.5609497349721481,402.76582104588334,7.319254114822643,55,2947.945393000002,2.3161,121.45768253245781
1078276,0.7105806544283017,438.5520542481053,6.692338292730003,57,2934.938706000001,1.3409,187.3433526626961
107867,0.504150339557013,333.9509454020806,9.992285786112372,61,3336.933284999999,1.4893,134.15455967624658
1080079,0.5358144204021653,334.40802980761913,8.815414539225976,54,2947.9454079999996,2.0513,109.59526425052245
1080131,0.5719052999224237,414.37859229247147,7.058618168034025,54,2924.940260000003,2.4583,119.82147074934838
1080738,0.815473289193071,406.11321451657585,8.216756391372732,55,3336.9333509999997,1.3606,172.0381320497229
1081361,0.5009356505434552,338.578797443991,8.70682230327095,106,2947.945424999998,1.119,159.78234895893866
1081414,0.5521666716336843,279.34955218192215,11.945368435124168,55,3336.9333230000047,2.4541,80.87477264176549
108155,0.596675090416097,328.5618229361225,10.156181150872026,59,3336.9333929999993,0.7764,184.95936891247607
1081789,0.5134950141834499,621.5093273035613,4.743203809651189,103,2947.945409,1.7849,223.17114700835268
1082200,0.6131558571936525,405.43929197013,7.270990908836688,54,2947.945405999999,1.0329,199.4388764671799
1082630,0.7168761352674768,287.56947623095533,8.94727883752716,30,2572.964288999996,0.6022,179.48413196289812
1083646,0.5316764854661843,219.49490916350567,15.066480346186735,40,3307.015735000001,0.659,132.30555103285454
1083654,0.8784680073293832,412.2808662229305,7.118784633126801,54,2934.9386950000044,0.889,218.2535025002279
1083965,0.7191622171100116,340.22899582237346,8.664591975397263,54,2947.945427000006,1.7545,123.517515274051
1084509,0.840107744164975,325.0646758814398,9.068796534124788,55,2947.945405999999,0.6206,200.58291736482772
1084922,0.7006733703259138,322.0651775906261,10.361049716593511,53,3336.9333169999954,1.0296,158.68406463866083
1084972,0.6870283906031397,400.4552904753232,8.33284863096502,56,3336.933318999996,0.8078,221.51526190691627
1086858,0.45046186801756216,412.6290110714956,8.087006299762605,54,3336.9334119999985,0.8566,222.24981744667434
1087265,0.8282400866547528,334.40802980761913,8.776519845197607,57,2934.938710000002,2.1351,106.66582559013082
108734,0.6485900549313847,392.1005706134094,8.469852264699634,48,3321.033906000004,1.9748,131.80737213036485
1087654,0.6974283393441857,407.46780320578154,7.202872710209646,58,2934.9387199999983,2.1512,129.30559888479993
1087933,0.7111125228782956,423.35386984982665,6.9325897931229195,57,2934.9387169999973,1.4182,175.0698328714857
1088047,0.6041261881587704,336.48048967100226,8.761118396143527,54,2947.9454079999996,2.2573,103.30042970282206
1088099,0.7642336097679181,551.3791374122367,5.322904908543358,55,2934.9387169999973,1.4387,226.09551704278374
1088473,0.5189733331756253,621.5093273035613,4.743203808042202,56,2947.9454079999996,0.8679,332.7315848297882
1088481,0.8111492187879662,503.12321244708835,5.833439754697569,58,2934.938948999996,1.2832,220.35880012573946
1088546,0.6146434336560411,297.5507442489851,182.83351258055393,56,54402.247742,2.6792,80.87376175499705
1089113,0.533329021003517,620.7198306280875,4.728282463652273,57,2934.9386899999954,1.6254,236.4286701562
1089406,0.5473839731629592,396.2338949454906,6.518782809722355,57,2582.9627029999974,1.5396,156.02216685520972
1089624,0.6222955911336517,601.6142270861833,5.546633054477242,55,3336.933358000002,0.7103,351.7594732422284
1090281,0.5619604787330691,465.27719001269566,7.1719253976515605,56,3336.933296000003,0.7044,272.98591293868554
1091003,0.5602246944620379,247.26189137523895,13.495542420388366,55,3336.9333439999973,1.5105,98.49109395548255
1091029,0.5830243196455346,424.08871745419475,7.868479314968843,56,3336.9333009999973,3.1342,102.58060022596749
1091047,0.6252232881435338,317.0499603489294,10.524944738449229,54,3336.933312000001,1.5746,123.14532756503122
1091220,0.5672173476452665,858.442318953738,3.8871957827836687,55,3336.9333620000034,0.8755,457.7138464162826
109176,0.8576036458267744,416.8530805687204,7.942931522738634,50,3311.0354739999966,1.4358,171.13600483156267
1092597,0.7452810191363104,270.2347302445619,10.860701325635986,57,2934.9386929999964,1.0905,129.26798863648023
1092990,0.4173787175969249,531.5846730327571,6.277331686337717,54,3336.933312000001,0.5514,342.64836472396354
1093570,0.5983899711777492,914.6838602329451,3.222911802826868,54,2947.945409,1.1084,433.82842925106485
1093653,0.8347348048700959,391.47231618301583,8.524059515973434,45,3336.933321999997,0.4875,263.1746663415232
1094710,0.46727648620549656,891.3254965545195,3.7437875859034064,55,3336.9333289999995,1.2553,395.2137172679996
1094741,0.48330755701373884,281.60338093103667,10.468430933795997,52,2947.945544000002,1.1195,132.86311909933318
1095049,0.740752032993081,310.99639346580864,10.729813551252226,56,3336.9333170000027,0.9725,157.66610568608803
109511,0.415497925320543,794.2568177713563,4.201327853078132,63,3336.933291000001,1.5709,308.9411559264679
109616,0.5683695149715585,431.9614969060013,7.688263492898041,55,3321.033807,1.3077,187.18269138362928
1097304,0.6647410835254031,444.1324984851545,7.513373410821317,55,3336.9333049999987,1.3294,190.6639042178907
109828,0.6735040699738102,290.47556142668424,11.43309235960706,52,3321.033921999995,1.0423,142.22962416230928
1098291,0.790744630944497,444.9413193039255,7.499715529275557,53,3336.9333220000044,1.3575,188.73438782775207
1098594,0.6903914441547689,548.2857499064954,5.352936342957156,54,2934.9387169999973,1.7916,196.40555592008005
1098793,0.7984278380886153,408.14849187935033,6.303990636232882,32,2572.964270999997,0.6489,247.5277408450181
1099250,0.7323536827438372,776.584849019954,3.7664142748744873,53,2924.9402610000034,1.9268,265.33581010658537
1099265,0.8509923301293837,399.4731583250068,8.353335468124529,56,3336.933302000005,1.1551,185.36177361839674
1099515,0.5529658781174445,416.8530805687204,7.040702877848017,56,2934.9386840000006,0.7106,243.6882266857947
1099738,0.41832925829382644,340.22899582237346,8.626362623520388,54,2934.9386929999964,0.7882,190.26339102022897
1100092,0.6906304612796198,473.3907427341226,6.199822740615756,56,2934.938691999996,0.8456,256.49693472806814
1100397,0.6635655382985606,433.4943321833415,5.144120608840801,51,2229.947128000007,1.1478,201.83179634199715
1100808,0.6557428999856234,418.6387434554974,7.010671474824907,51,2934.938696999998,2.464,120.85414072040918
1101464,0.7186716270463844,884.8692152917504,3.3315040901587163,54,2947.9454100000003,1.8632,309.04904138437774
11021,0.7408135649740618,406.78938118582926,8.203098363267314,62,3336.9333069999993,1.8072,144.90929794308536
1102429,0.5817705151151962,321.85304449648703,9.11887816562829,57,2934.938700000006,1.273,141.5983477767211
